,count_tokens,average_sentence_length,percentage_complex_word,positive_score,negative_score,uncertainty_score,constraining_score,relative_positive,relative_negative,relative_uncertainty,relative_constraining,fog_index,risk_loss,relative_risk,prop_of_average
AXLX,94843,94843,0.11779467119344601,55,277,229,40,0.005999999999999999,0.028999999999999998,0.023999999999999997,0.004,37937.247,102,0.11,1.99
LECO,276,276,0.14855072463768115,0,0,0,0,0.0,0.0,0.0,0.0,110.459,0,0.0,0.01
