,cik,exchange,irs,name,sic,ticker,file
196,1470177,OTC,611585332,Axiologix Education Corp,7372,AXLX,https://www.sec.gov/Archives/edgar/data/1470177/000151712611000272/0001517126-11-000272.txt
1090,59527,NASDAQ,340359955,Lincoln Electric Holdings Inc,3540,LECO,https://www.sec.gov/Archives/edgar/data/59527/000005952719000008/0000059527-19-000008.txt
